Date,SPY,EFA,EEM,EMB,HYG,LQD
1994-06-21,26.045835,NA,NA,NA,NA,NA
1994-06-22,26.145113,NA,NA,NA,NA,NA
1994-06-23,25.991680,NA,NA,NA,NA,NA
1994-06-24,25.450191,NA,NA,NA,NA,NA
1994-06-27,25.892405,NA,NA,NA,NA,NA
1994-06-28,25.766056,NA,NA,NA,NA,NA
1994-06-29,25.847277,NA,NA,NA,NA,NA
1994-06-30,25.684849,NA,NA,NA,NA,NA
1994-07-01,25.738979,NA,NA,NA,NA,NA
1994-07-05,25.874378,NA,NA,NA,NA,NA
1994-07-06,25.838247,NA,NA,NA,NA,NA
1994-07-07,25.946552,NA,NA,NA,NA,NA
1994-07-08,25.937540,NA,NA,NA,NA,NA
1994-07-11,25.847277,NA,NA,NA,NA,NA
1994-07-12,25.883383,NA,NA,NA,NA,NA
1994-07-13,25.928499,NA,NA,NA,NA,NA
1994-07-14,26.208279,NA,NA,NA,NA,NA
1994-07-15,26.217293,NA,NA,NA,NA,NA
1994-07-18,26.262417,NA,NA,NA,NA,NA
1994-07-19,26.208279,NA,NA,NA,NA,NA
1994-07-20,26.090961,NA,NA,NA,NA,NA
1994-07-21,26.145113,NA,NA,NA,NA,NA
1994-07-22,26.190228,NA,NA,NA,NA,NA
1994-07-25,26.226326,NA,NA,NA,NA,NA
1994-07-26,26.199263,NA,NA,NA,NA,NA
1994-07-27,26.199263,NA,NA,NA,NA,NA
1994-07-28,26.253399,NA,NA,NA,NA,NA
1994-07-29,26.515137,NA,NA,NA,NA,NA
1994-08-01,26.641479,NA,NA,NA,NA,NA
1994-08-02,26.677582,NA,NA,NA,NA,NA
1994-08-03,26.686615,NA,NA,NA,NA,NA
1994-08-04,26.533176,NA,NA,NA,NA,NA
1994-08-05,26.442934,NA,NA,NA,NA,NA
1994-08-08,26.506105,NA,NA,NA,NA,NA
1994-08-09,26.551231,NA,NA,NA,NA,NA
1994-08-10,26.650503,NA,NA,NA,NA,NA
1994-08-11,26.551231,NA,NA,NA,NA,NA
1994-08-12,26.758793,NA,NA,NA,NA,NA
1994-08-15,26.749781,NA,NA,NA,NA,NA
1994-08-16,26.939291,NA,NA,NA,NA,NA
1994-08-17,26.921251,NA,NA,NA,NA,NA
1994-08-18,26.831003,NA,NA,NA,NA,NA
1994-08-19,26.812956,NA,NA,NA,NA,NA
1994-08-22,26.785875,NA,NA,NA,NA,NA
1994-08-23,26.939291,NA,NA,NA,NA,NA
1994-08-24,27.228100,NA,NA,NA,NA,NA
1994-08-25,27.155905,NA,NA,NA,NA,NA
1994-08-26,27.543940,NA,NA,NA,NA,NA
1994-08-29,27.525911,NA,NA,NA,NA,NA
1994-08-30,27.598120,NA,NA,NA,NA,NA
1994-08-31,27.525911,NA,NA,NA,NA,NA
1994-09-01,27.435665,NA,NA,NA,NA,NA
1994-09-02,27.318342,NA,NA,NA,NA,NA
1994-09-06,27.327366,NA,NA,NA,NA,NA
1994-09-07,27.300295,NA,NA,NA,NA,NA
1994-09-08,27.435665,NA,NA,NA,NA,NA
1994-09-09,27.146875,NA,NA,NA,NA,NA
1994-09-12,27.065636,NA,NA,NA,NA,NA
1994-09-13,27.146875,NA,NA,NA,NA,NA
1994-09-14,27.173941,NA,NA,NA,NA,NA
1994-09-15,27.516911,NA,NA,NA,NA,NA
1994-09-16,27.321062,NA,NA,NA,NA,NA
1994-09-19,27.348288,NA,NA,NA,NA,NA
1994-09-20,26.830753,NA,NA,NA,NA,NA
1994-09-21,26.830753,NA,NA,NA,NA,NA
1994-09-22,26.767193,NA,NA,NA,NA,NA
1994-09-23,26.676386,NA,NA,NA,NA,NA
1994-09-26,26.812599,NA,NA,NA,NA,NA
1994-09-27,26.794420,NA,NA,NA,NA,NA
1994-09-28,27.003269,NA,NA,NA,NA,NA
1994-09-29,26.867060,NA,NA,NA,NA,NA
1994-09-30,26.830753,NA,NA,NA,NA,NA
1994-10-03,26.767193,NA,NA,NA,NA,NA
1994-10-04,26.367685,NA,NA,NA,NA,NA
1994-10-05,26.376747,NA,NA,NA,NA,NA
1994-10-06,26.295050,NA,NA,NA,NA,NA
1994-10-07,26.413074,NA,NA,NA,NA,NA
1994-10-10,26.694559,NA,NA,NA,NA,NA
1994-10-11,27.094061,NA,NA,NA,NA,NA
1994-10-12,27.130398,NA,NA,NA,NA,NA
1994-10-13,27.221182,NA,NA,NA,NA,NA
1994-10-14,27.339209,NA,NA,NA,NA,NA
1994-10-17,27.284758,NA,NA,NA,NA,NA
1994-10-18,27.221182,NA,NA,NA,NA,NA
1994-10-19,27.348288,NA,NA,NA,NA,NA
1994-10-20,27.166706,NA,NA,NA,NA,NA
1994-10-21,27.057732,NA,NA,NA,NA,NA
1994-10-24,26.830753,NA,NA,NA,NA,NA
1994-10-25,26.857988,NA,NA,NA,NA,NA
1994-10-26,26.957870,NA,NA,NA,NA,NA
1994-10-27,27.121309,NA,NA,NA,NA,NA
1994-10-28,27.693336,NA,NA,NA,NA,NA
1994-10-31,27.593443,NA,NA,NA,NA,NA
1994-11-01,27.284758,NA,NA,NA,NA,NA
1994-11-02,27.130398,NA,NA,NA,NA,NA
1994-11-03,27.275665,NA,NA,NA,NA,NA
1994-11-04,26.921537,NA,NA,NA,NA,NA
1994-11-07,27.003269,NA,NA,NA,NA,NA
1994-11-08,27.212093,NA,NA,NA,NA,NA
1994-11-09,27.257486,NA,NA,NA,NA,NA
1994-11-10,27.066820,NA,NA,NA,NA,NA
1994-11-11,26.966951,NA,NA,NA,NA,NA
1994-11-14,27.221182,NA,NA,NA,NA,NA
1994-11-15,27.130398,NA,NA,NA,NA,NA
1994-11-16,27.221182,NA,NA,NA,NA,NA
1994-11-17,27.039593,NA,NA,NA,NA,NA
1994-11-18,27.003269,NA,NA,NA,NA,NA
1994-11-21,26.730865,NA,NA,NA,NA,NA
1994-11-22,26.149767,NA,NA,NA,NA,NA
1994-11-23,26.295050,NA,NA,NA,NA,NA
1994-11-25,26.422153,NA,NA,NA,NA,NA
1994-11-28,26.540203,NA,NA,NA,NA,NA
1994-11-29,26.531113,NA,NA,NA,NA,NA
1994-11-30,26.494787,NA,NA,NA,NA,NA
1994-12-01,26.231472,NA,NA,NA,NA,NA
1994-12-02,26.476627,NA,NA,NA,NA,NA
1994-12-05,26.503853,NA,NA,NA,NA,NA
1994-12-06,26.522039,NA,NA,NA,NA,NA
1994-12-07,26.331356,NA,NA,NA,NA,NA
1994-12-08,26.077126,NA,NA,NA,NA,NA
1994-12-09,26.177000,NA,NA,NA,NA,NA
1994-12-12,26.349522,NA,NA,NA,NA,NA
1994-12-13,26.449417,NA,NA,NA,NA,NA
1994-12-14,26.585600,NA,NA,NA,NA,NA
1994-12-15,26.667315,NA,NA,NA,NA,NA
1994-12-16,26.797573,NA,NA,NA,NA,NA
1994-12-19,26.834169,NA,NA,NA,NA,NA
1994-12-20,26.751822,NA,NA,NA,NA,NA
1994-12-21,27.035522,NA,NA,NA,NA,NA
1994-12-22,26.953161,NA,NA,NA,NA,NA
1994-12-23,26.980621,NA,NA,NA,NA,NA
1994-12-27,27.127048,NA,NA,NA,NA,NA
1994-12-28,26.989763,NA,NA,NA,NA,NA
1994-12-29,27.008074,NA,NA,NA,NA,NA
1994-12-30,26.687731,NA,NA,NA,NA,NA
1995-01-03,26.815859,NA,NA,NA,NA,NA
1995-01-04,26.944000,NA,NA,NA,NA,NA
1995-01-05,26.944000,NA,NA,NA,NA,NA
1995-01-06,26.971457,NA,NA,NA,NA,NA
1995-01-09,26.998932,NA,NA,NA,NA,NA
1995-01-10,27.026369,NA,NA,NA,NA,NA
1995-01-11,27.044653,NA,NA,NA,NA,NA
1995-01-12,27.053814,NA,NA,NA,NA,NA
1995-01-13,27.374161,NA,NA,NA,NA,NA
1995-01-16,27.538889,NA,NA,NA,NA,NA
1995-01-17,27.548050,NA,NA,NA,NA,NA
1995-01-18,27.520590,NA,NA,NA,NA,NA
1995-01-19,27.365013,NA,NA,NA,NA,NA
1995-01-20,27.264328,NA,NA,NA,NA,NA
1995-01-23,27.346712,NA,NA,NA,NA,NA
1995-01-24,27.383301,NA,NA,NA,NA,NA
1995-01-25,27.456522,NA,NA,NA,NA,NA
1995-01-26,27.483999,NA,NA,NA,NA,NA
